avg(pkt_len),stddev(pkt_len),fb_ratio,inter_arrival_time,pkt_count,duration,pkt_len
185.0,-1.0,0.0,-1.0,1,0.009069000000003768,185.0
108.0,-1.0,0.0,-1.0,1,0.0018139999999817746,108.0
75.0,-1.0,0.0,-1.0,1,0.016182000000000585,75.0
105.0,-1.0,0.0,-1.0,1,0.011645999999995382,105.0
118.0,-1.0,0.0,-1.0,1,0.018484999999994756,118.0
108.0,-1.0,0.0,-1.0,1,0.0070750000000003865,108.0
106.0,-1.0,0.0,-1.0,1,0.013222999999999985,106.0
107.0,-1.0,0.0,-1.0,1,0.02432200000000151,107.0
183.0,0.0,-1.0,60.00722300000001,2,60.00722300000001,366.0
195.0,-1.0,0.0,-1.0,1,0.1449710000000004,195.0
103.0,-1.0,0.0,-1.0,1,0.016690000000011196,103.0
75.0,-1.0,0.0,-1.0,1,0.013362000000000762,75.0
75.0,-1.0,0.0,-1.0,1,0.015146000000001436,75.0
409.0,245.0979396078229,-1.0,69.8327035,3,139.665407,1227.0
150.0,54.616847217685496,-1.0,69.9115615,3,139.823123,450.0
57.0,-1.0,0.0,-1.0,1,0.008512000000001407,57.0
,-1.0,-1.0,-0.0,0,0.0,0.0
446.06666666666666,19.196229788561038,-1.0,8.573873,15,120.034222,6691.0
96.0,-1.0,0.0,-1.0,1,0.0016990000000021155,96.0
75.0,-1.0,0.0,-1.0,1,0.017335000000002765,75.0
75.0,-1.0,0.0,-1.0,1,0.015368999999999744,75.0
75.0,-1.0,0.0,-1.0,1,0.017337000000001268,75.0
158.0,-1.0,0.0,-1.0,1,0.078179,158.0
107.0,-1.0,0.0,-1.0,1,0.06128600000000972,107.0
75.0,-1.0,0.0,-1.0,1,0.01076699999999775,75.0
114.0,-1.0,0.0,-1.0,1,0.29475300000000004,114.0
107.0,-1.0,0.0,-1.0,1,0.02672299999999872,107.0
368.7142857142857,455.8138195527183,-1.0,23.334716833333335,7,140.00830100000002,2581.0
107.0,-1.0,0.0,-1.0,1,0.0065119999999865286,107.0
