avg(pkt_len),stddev(pkt_len),fb_ratio,inter_arrival_time,pkt_count
28.0,0.0,-1.0,3.0080417348314605,446
28.0,0.0,-1.0,3.008036053932584,446
16.0,0.0,-1.0,15.17137119318182,89
152.0,0.0,-1.0,30.788110581395348,44
152.0,0.0,-1.0,30.78811104651163,44
296.0,-1.0,0.0,-1.0,1
61.0,-1.0,0.0,-1.0,1
143.0,-1.0,0.0,-1.0,1
287.0,-1.0,0.0,-1.0,1
302.0,-1.0,0.0,-1.0,1
91.0,-1.0,0.0,-1.0,1
286.0,-1.0,0.0,-1.0,1
82.0,-1.0,0.0,-1.0,1
188.0,-1.0,0.0,-1.0,1
55.0,-1.0,0.0,-1.0,1
265.0,-1.0,0.0,-1.0,1
87.0,-1.0,0.0,-1.0,1
201.0,-1.0,0.0,-1.0,1
68.0,-1.0,0.0,-1.0,1
115.0,-1.0,0.0,-1.0,1
133.0,-1.0,0.0,-1.0,1
58.0,-1.0,0.0,-1.0,1
152.0,0.0,-1.0,30.708422581395347,44
152.0,0.0,-1.0,30.70842069767442,44
,-1.0,-1.0,-0.0,0
128.0,-1.0,0.0,-1.0,1
153.4179104477612,66.04753780507696,-1.0,19.179646500000004,67
202.0,-1.0,0.0,-1.0,1
116.0,-1.0,0.0,-1.0,1
137.1875,43.23612494199729,-1.0,83.84337273333334,16
192.16666666666666,69.55676586904339,-1.0,43.539640999999996,30
141.0,-1.0,0.0,-1.0,1
128.0,-1.0,0.0,-1.0,1
153.0,-1.0,0.0,-1.0,1
86.0,0.0,-1.0,118.56776363636364,12
259.0,0.0,-1.0,30.728724547619052,43
259.0,0.0,-1.0,30.728740023809525,43
77.0,-1.0,0.0,-1.0,1
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
109.0,-1.0,-1.0,-1.0,1
141.0,-1.0,0.0,-1.0,1
145.0,-1.0,0.0,-1.0,1
85.0,-1.0,0.0,-1.0,1
84.0,-1.0,0.0,-1.0,1
70.0,-1.0,0.0,-1.0,1
54.0,-1.0,0.0,-1.0,1
51.0,-1.0,0.0,-1.0,1
51.0,-1.0,0.0,-1.0,1
94.0,-1.0,0.0,-1.0,1
56.0,-1.0,0.0,-1.0,1
197.0,-1.0,0.0,-1.0,1
116.0,-1.0,0.0,-1.0,1
,-1.0,-1.0,-0.0,0
145.0,-1.0,0.0,-1.0,1
67.0,-1.0,0.0,-1.0,1
97.0,-1.0,0.0,-1.0,1
130.33333333333334,58.07179464536406,0.5,0.014047000000001475,3
134.0,-1.0,0.0,-1.0,1
94.0,-1.0,0.0,-1.0,1
65.0,-1.0,0.0,-1.0,1
82.0,-1.0,0.0,-1.0,1
254.0,-1.0,0.0,-1.0,1
155.0,-1.0,0.0,-1.0,1
152.0,-1.0,0.0,-1.0,1
99.0,-1.0,0.0,-1.0,1
67.0,-1.0,0.0,-1.0,1
185.0,-1.0,0.0,-1.0,1
247.0,-1.0,-1.0,-1.0,1
58.0,0.0,-1.0,409.69022366666667,4
,-1.0,-1.0,-0.0,0
182.0,0.0,-1.0,1.5252570000000034,3
182.0,0.0,-1.0,1.5012790000000038,3
182.0,0.0,-1.0,12.1113475,3
88.33333333333333,13.125039682479693,-1.0,238.76905440000002,6
68.0,-1.0,0.0,-1.0,1
,-1.0,-1.0,-0.0,0
71.0,-1.0,0.0,-1.0,1
69.929,68.36138704150346,1.0576131687242798,0.075093985985986,1000
39.412,21.472851215880468,-1.0,0.059040105105105135,1000
100.46,10.272971037335498,-1.0,0.057451810810810765,1000
100.95,8.512929576236958,-1.0,0.04217126826826827,1000
100.95,8.512929576236958,-1.0,0.045536786786786826,1000
100.422,10.5520264054475,-1.0,0.0686777747747748,1000
101.09,7.9331478515678,-1.0,0.03600396196196197,1000
101.02,8.228445011501705,-1.0,0.0430456196196196,1000
101.09,7.9331478515678,-1.0,0.040528921921921895,1000
100.632,9.93918323421816,-1.0,0.07193488488488495,1000
101.09,7.9331478515678,-1.0,0.04254667867867871,1000
100.11,11.35150900791418,-1.0,0.07162308708708698,1000
100.95,8.512929576236958,-1.0,0.04529154354354346,1000
101.16,7.625782094483987,-1.0,0.04351349149149157,1000
100.74,9.311235100624357,-1.0,0.04503133033033036,1000
101.16,7.625782094483987,-1.0,0.042588789789789784,1000
100.406,10.513119883730505,-1.0,0.06315227727727736,1000
101.052,8.263266761854998,-1.0,0.04953482182182191,1000
101.02,8.228445011501705,-1.0,0.046105183183183185,1000
99.378,13.2329977037793,-1.0,0.1083790890890891,1000
101.16,7.625782094483987,-1.0,0.044166342342342194,1000
101.16,7.625782094483987,-1.0,0.03970810610610613,1000
126.42429022082018,102.21436806723815,-1.0,0.03966693206951055,634
106.0,-1.0,0.0,-1.0,1
53.110236220472444,1.3465319737961823,1.0158730158730158,9.52048026190476,127
235.8780487804878,0.6401219396028975,-1.0,30.112902974999997,41
116.6969696969697,102.95614504744388,-1.0,27.67348703125,33
128.0,-1.0,0.0,-1.0,1
91.266,20.678414853195125,-1.0,0.051670444444444415,1000
281.024,85.29076115229562,-1.0,0.06275943943943946,1000
323.352,71.77149324936218,-1.0,0.06269689289289286,1000
323.422,70.20443418031783,-1.0,0.06269396996996993,1000
323.556,71.87991086239316,-1.0,0.06270464364364368,1000
326.68,71.35537253206088,-1.0,0.0626958088088089,1000
324.438,72.4781431690771,-1.0,0.0624342702702703,1000
282.228,73.32003712385752,-1.0,0.06263481481481482,1000
286.368,73.95602794951924,-1.0,0.06263496096096094,1000
308.972,76.827740548045,-1.0,0.062498427427427415,1000
301.084,75.95995562702008,-1.0,0.06200595095095093,1000
315.09,75.9185057777056,-1.0,0.06250031531531543,1000
289.668,80.82295544043244,-1.0,0.061834835835835975,1000
283.188,76.94031757452309,-1.0,0.06212608908908892,1000
303.62,75.10003738757801,-1.0,0.062170184184184095,1000
233.956,62.55736157709569,-1.0,0.06263111411411412,1000
278.142,76.39793505377276,-1.0,0.06210215415415422,1000
290.204,71.19502170176729,-1.0,0.062166090090089866,1000
225.6426332288401,107.72728291787648,-1.0,0.05671437735849017,319
68.0,-1.0,0.0,-1.0,1
182.0,0.0,-1.0,1.5168824999999941,3
191.0,15.588457268119896,-1.0,360.43288700000005,3
182.0,0.0,-1.0,1.5009029999999939,3
182.0,0.0,-1.0,22.023202999999995,2
69.0,-1.0,0.0,-1.0,1
69.0,-1.0,0.0,-1.0,1
78.0,-1.0,0.0,-1.0,1
227.66666666666666,13.279056191361391,-1.0,360.4329515,3
209.0,-1.0,-1.0,-1.0,1
128.0,-1.0,0.0,-1.0,1
141.0,-1.0,0.0,-1.0,1
71.0,-1.0,0.0,-1.0,1
16.0,0.0,0.9977064220183486,1.2470376931034481,871
209.0,-1.0,-1.0,-1.0,1
130.0,62.0,-1.0,463.598056,3
71.0,-1.0,0.0,-1.0,1
182.0,0.0,-1.0,1.5133294999999976,3
182.0,0.0,-1.0,1.5012170000000253,3
182.0,0.0,-1.0,23.67068500000005,2
30.0,-1.0,-1.0,-1.0,1
30.0,-1.0,-1.0,-1.0,1
58.0,0.0,-1.0,24.428762421052635,20
76.0,0.0,-1.0,1.5006459999999606,2
71.0,-1.0,0.0,-1.0,1
68.0,-1.0,0.0,-1.0,1
71.0,-1.0,0.0,-1.0,1
71.0,-1.0,0.0,-1.0,1
156.0,-1.0,0.0,-1.0,1
182.0,0.0,-1.0,1.5208839999999952,3
182.0,0.0,-1.0,1.5007114999999942,3
182.0,-1.0,-1.0,-1.0,1
56.0,-1.0,0.0,-1.0,1
71.0,-1.0,0.0,-1.0,1
,-1.0,-1.0,-0.0,0
109.0,1.4142135623730951,-1.0,288.82286700000003,2
71.0,-1.0,0.0,-1.0,1
182.0,0.0,-1.0,1.5244994999999903,3
68.0,-1.0,0.0,-1.0,1
182.0,0.0,-1.0,1.500588500000049,3
109.0,-1.0,-1.0,-1.0,1
182.0,0.0,-1.0,23.4012909999999,2
71.0,-1.0,0.0,-1.0,1
71.0,-1.0,0.0,-1.0,1
,-1.0,-1.0,-0.0,0
58.0,0.0,-1.0,0.7728456000000051,6
145.0,0.0,-1.0,3.7667734999999993,5
41.0,-1.0,-1.0,-1.0,1
41.0,-1.0,-1.0,-1.0,1
156.0,-1.0,0.0,-1.0,1
41.0,-1.0,-1.0,-1.0,1
41.0,-1.0,-1.0,-1.0,1
30.0,-1.0,-1.0,-1.0,1
30.0,-1.0,-1.0,-1.0,1
30.0,-1.0,-1.0,-1.0,1
30.0,-1.0,-1.0,-1.0,1
30.0,-1.0,-1.0,-1.0,1
30.0,-1.0,-1.0,-1.0,1
30.0,-1.0,-1.0,-1.0,1
30.0,-1.0,-1.0,-1.0,1
71.0,-1.0,0.0,-1.0,1
182.0,0.0,-1.0,1.517353500000013,3
128.0,-1.0,0.0,-1.0,1
182.0,0.0,-1.0,1.5008720000000153,3
30.0,-1.0,-1.0,-1.0,1
30.0,-1.0,-1.0,-1.0,1
182.0,-1.0,-1.0,-1.0,1
71.0,-1.0,0.0,-1.0,1
68.0,-1.0,0.0,-1.0,1
71.0,-1.0,0.0,-1.0,1
182.0,0.0,-1.0,1.521323999999936,3
182.0,0.0,-1.0,1.5013700000000085,3
30.0,-1.0,-1.0,-1.0,1
30.0,-1.0,-1.0,-1.0,1
182.0,0.0,-1.0,23.698111999999924,2
71.0,-1.0,0.0,-1.0,1
158.0,-1.0,0.0,-1.0,1
104.0,-1.0,0.0,-1.0,1
71.0,-1.0,0.0,-1.0,1
,-1.0,-1.0,-0.0,0
182.0,0.0,-1.0,1.5213975000000346,3
68.0,-1.0,0.0,-1.0,1
71.0,-1.0,0.0,-1.0,1
182.0,0.0,-1.0,1.5013309999999933,3
182.0,-1.0,-1.0,-1.0,1
71.0,-1.0,0.0,-1.0,1
128.0,-1.0,0.0,-1.0,1
52.0,-1.0,0.0,-1.0,1
59.0,-1.0,0.0,-1.0,1
184.0,-1.0,0.0,-1.0,1
101.0,-1.0,0.0,-1.0,1
144.0,-1.0,0.0,-1.0,1
71.0,-1.0,0.0,-1.0,1
69.0,-1.0,0.0,-1.0,1
103.0,-1.0,0.0,-1.0,1
78.0,-1.0,0.0,-1.0,1
69.0,-1.0,0.0,-1.0,1
182.0,0.0,-1.0,1.521523000000002,3
182.0,0.0,-1.0,1.5013780000000452,3
71.0,-1.0,0.0,-1.0,1
182.0,0.0,-1.0,12.437287999999967,3
68.0,-1.0,0.0,-1.0,1
71.0,-1.0,0.0,-1.0,1
109.0,-1.0,-1.0,-1.0,1
182.0,0.0,-1.0,1.5215840000000753,3
182.0,0.0,-1.0,1.5011180000000195,3
71.0,-1.0,0.0,-1.0,1
219.0,-1.0,0.0,-1.0,1
71.0,-1.0,0.0,-1.0,1
71.0,-1.0,0.0,-1.0,1
182.0,-1.0,-1.0,-1.0,1
156.0,-1.0,0.0,-1.0,1
182.0,0.0,-1.0,1.524037499999963,3
71.0,-1.0,0.0,-1.0,1
68.0,-1.0,0.0,-1.0,1
128.0,-1.0,0.0,-1.0,1
182.0,0.0,-1.0,1.5012000000000398,3
381.3333333333333,68.80649194177344,-1.0,0.0002564999998639905,3
,-1.0,-1.0,-0.0,0
296.0,-1.0,0.0,-1.0,1
64.0,-1.0,0.0,-1.0,1
182.0,-1.0,-1.0,-1.0,1
